AREA,SUBAREA,ISBN,TITULO,ED,ANIO,AUTOR,EDITORIAL,STOCK,PVP_S
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-32-2336-2,PRINCIPIOS DE ADMINISTRACION DE OPERACIONES.,9,2014,HEIZER,PEARSON,4,73.5
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-15-0758-7,ADMINISTRACION DE COMPRAS Y ABASTECIMIENTOS.,14,2012,JOHNSON,MCGRAW-HILL,47,56.6
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-32-4508-1,GESTION DE OPERACIONES Y CALIDAD,1,2018,LIZARZABURU,PEARSON,11,110.9
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-7356-912-5,FUNDAMENTOS DE DIRECCION DE OPERACIONES EN EMPRESAS DE SERVICIOS.,1,2013,MARTIN,ESIC,1,15.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-438-696-7,INVESTIGACION DE OPERACIONES.,1,2014,MARTINEZ,PATRIA,8,32.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-612-4147-30-2,ANALISIS DE LA PRODUCCION: UN ENFOQUE MICROECONOMICO.,1,2014,ORTIZ,UNIV. AGRARIA LA MOLINA,1,35.3
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-612-304-556-2,INVESTIGACION DE OPERACIONES,1,2018,ORTIZ,MACRO,18,58.4
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-771-753-2,ADMINISTRACION DE LA PRODUCCION,1,2019,PALACIOS,ECOE,2,97.2
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-612-47524-0-7,INVESTIGACION DE OPERACIONES I,1,2017,PEREZ,EDUNI,2,34.4
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-1545-240-9,INVESTIGACION OPERATIVA. TECNICAS Y HERRAMIENTAS,1R,2013,PEREZ,GARCETA GRUPO EDITORIAL,1,89.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-762-869-2,OPERACIONES AUXILIARES DE ALMACENAJE,1,2018,PEREZ,EDICIONES DE LA U,9,80.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-16115-46-4,APRENDER COACHING ¡ ES FACIL !,1,2015,PIQUERAS,PROFIT EDITORIAL,16,32.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-778-458-9,LOGISTICA URBANA. MANUAL PARA OPERADORES LOGISTICOS Y ADMINISTRACIONES PUBLICAS,1,2019,RAGAS,ALFAOMEGA,1,36.6
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-9021-761-0,UF0350. GESTION ADMINISTRATIVA DEL PROCESO COMERCIAL,1,2019,RUMIN,ICB EDITORES,2,77.8
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-987-1305-70-4,COMPETENCIAS PARA OBTENER PRODUCTOS Y SERVICIOS DE CALIDAD EN BIBLIOTECAS UNIVER,1,2013,SANABRIA,ALFAGRAMA EDICIONES.,1,45.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-15-0600-9,ADMINISTRACION DE OPERACIONES. CONCEPTOS Y CASOS CONTEMPORANEOS,5,2011,SCHROEDER,MCGRAW-HILL,60,73.5
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-607-438-725-4,PLANEACION Y CONTROL.,1,2014,TORRES,PATRIA,2,45.0
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-958-8743-64-6,GESTION PARA LA PLANEACION DE LA PRODUCCION,1,2014,VARIOS,INST. TECNOLOGICO METROPOLITANO ( ITM ),1,38.6
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-368-2945-7,GESTION DE LA PRODUCCION EN LA EMPRESA.,1,2013,VELASCO,PIRAMIDE,4,128.3
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-84-368-3017-0,ORGANIZACION DE LA PRODUCCION.,3,2013,VELASCO,PIRAMIDE,1,136.6
ADMINISTRACION,ADMINISTRACION DE OPERACIONES / PRODUCCION / INVEN,978-987-741-096-9,ESTRATEGIA Y GESTION DE COMPRAS,1,2018,WAGNER,EDICON. FONDO EDITORIAL CONSEJO,1,90.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-59727-3-5,ALINEAR PERSONAS Y NEGOCIO: 99 RESPUESTAS,1,2018,LAGOMARSINO,EDICIONES DE LA U,2,56.7
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-968-18-2738-0,EL PROCESO DE LA ENTREVISTA. CONCEPTOS Y MODELOS,4,2017,ACEVEDO,LIMUSA,3,40.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-7356-808-1,GESTION EFICAZ DEL TIEMPO Y CONTROL DEL ESTRES.,7,2015,ACOSTA,ESIC,1,42.7
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-368-3834-3D1,DIRIGIR Y MOTIVAR EQUIPOS,1,2017,AGUIRRE,PIRAMIDE,1,58.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-9790-2,"GESTION DE RECURSOS LABORALES, FORMATIVOS Y ANALISIS DE PUESTOS DE TRABAJO PARA",1,2015,ALBA,PARANINFO,5,43.4
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,84-8188-231-3,LA PARTICIPACION DE LOS TRABAJADORES EN LA TECNOLOGIA,1,2005,ALBALATE,MUNDIPRENSA,1,5.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-368-2528-2D1,DIRECCION ESTRATEGICA DE LOS RECURSOS HUMANOS . TEORIA Y PRACTICA,2,2011,ALBIZU,PIRAMIDE,1,50.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-954-7,5 PASOS PARA TRANSFORMAR UNA OFICINA DE PERSONAL EN UN AREA DE RECURSOS HUMANOS,2,2018,ALLES,GRANICA,1,66.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-023-0,5 PASOS PARA TRANSFORMAR UNA OFICINA DE PERSONAL EN UN AREA DE RECURSOS HUMANOS.,6R,2015,ALLES,GRANICA,1,30.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-023-0D,5 PASOS PARA TRANSFORMAR UNA OFICINA DE PERSONAL EN UN AREA DE RECURSOS HUMANOS.,6R,2015,ALLES,GRANICA,2,50.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-871-7,CUESTIONES SOBRE GESTION DE PERSONAS,1,2015,ALLES,GRANICA,7,80.7
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-886-1,DIRECCION ESTRATEGICA DE RECURSOS HUMANOS VOL. 2,4,2016,ALLES,GRANICA,20,34.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-920-2,ELIJA AL MEJOR,3,2017,ALLES,GRANICA,5,41.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-392-7,ELIJA AL MEJOR. COMO ENTREVISTAR POR COMPETENCIAS.,8R,2010,ALLES,GRANICA,6,10.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-987-8358-90-1,EVALUACIONES MULTIPLES. VOL 3,1,2021,ALLES,GRANICA,6,99.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-805-2,LA MARCA RECURSOS HUMANOS.,1,2014,ALLES,GRANICA,6,44.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-911-0,LAS 50 HERRAMIENTAS DE RECURSOS HUMANOS,2,2017,ALLES,GRANICA,8,59.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-697-3,SOCIAL MEDIA Y RECURSOS HUMANOS.,1R,2014,ALLES,GRANICA,1,43.7
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-16092-41-3,FORMACION Y ORIENTACION LABORAL,1,2015,ALVAREZ,MACMILLAN,1,62.9
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-1357-190-4,GESTION DE RECURSOS HUMANOS,1,2022,ALVAREZ,SINTESIS,5,242.5
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-1357-090-7,OPERACIONES ADMINISTRATIVAS DE RECURSOS HUMANOS,1,2021,ALVAREZ,SINTESIS,6,146.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-762-002-3,RIESGOS LABORALES. COMO PREVENIRLOS EN EL AMBIENTE DE TRABAJO,1,2012,ALVAREZ,EDICIONES DE LA U,1,66.8
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-8726-02-1,GESTION MODERNA DE SALARIOS E INCENTIVOS.,1,2012,AMAYA,ESCUELA COLOMBIANA DE INGENIERIA,42,30.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-8468-711-5,FORMACION PROFESIONAL. EL CAMINO RAZONABLE HACIA UNA SOCIEDAD DE PROFESIONALES,1,2017,ARENAS,UNIV. PONTIFICIA COMILLAS.,3,76.7
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-17-3261-3,ADMINISTRACION DE CAPITAL HUMANO. PARA EL ALTO DESEMPEÑO,1,2018,ARIAS,TRILLAS,1,125.8
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-968-24-4636-8,ABC DEL DESARROLLO ORGANIZACIONAL.,1R,2016,AUDIRAC,TRILLAS,2,38.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-3706-9,OPERACIONES ADMINISTRATIVAS DE RECURSOS HUMANOS,1R,2016,AYENSA,PARANINFO,5,104.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9077-462-5,DINAMIZACION GRUPAL,DL,2017,BENITO,SINTESIS,1,101.8
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-987-8358-86-4,ESTRATEGIAS DE COACHIG EJECUTIVO,1,2022,BICONDOA,GRANICA,3,94.1
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-778-409-1,"HR ANALYTICS. GESTION DE PERSONAS, DATOS Y DECISIONES",1,2018,BODENHEIMER,ALFAOMEGA,2,65.2
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-16115-14-3,MOTIVAR PERSONAS ¡ES FACIL!,1,2015,BRUCE,PROFIT EDITORIAL,1,32.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-16421-35-0,SISTEMAS LABORALES COMPARADOS,1,2016,BRUNET,ANTHROPOS,1,110.1
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-762-437-3,PLANIFICACION Y GESTION DE RECURSOS HUMANOS,1,2015,BUREAU,EDICIONES DE LA U,5,59.9
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-949041-2-7,"UN GREAT PLACE TO WORK PARA TODOS. MEJOR PARA EL NEGOCIO, MEJOR PARA LAS PERSONA",1,2018,BUSH,LIBROS DE CABECERA,1,56.5
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9078-586-7,FORMACION Y ORIENTACION LABORAL,DL,2016,CALDAS,EDITEX,6,105.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-9879-4,GESTION AUXILIAR DE PERSONAL.,1,2014,CAMPIÑA,PARANINFO,2,25.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-987-1826-47-6,DESARROLLO HUMANO EN LAS ORGANIZACIONES.,1,2012,CARDOZO,TEMAS,1,45.1
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-716-963-8,"SELECCION DE PERSONAL. DISCURSOS, PRACTICAS, TECNOLOGIAS",1,2016,CARVAJAL,PONTIFICIA UNIV.JAVERIANA,1,35.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-1-4562-2254-3,"SALUD, AMBIENTAL Y TRABAJO.",1,2014,CASTRO,MCGRAW-HILL,2,80.8
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-987-591-541-1,DICCIONARIO DE RECURSOS HUMANOS.,1,2015,CHAVEZ,BRUJAS,7,51.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-454-2761-3,ORGANIZACION DEL CAPITAL HUMANO COMO ACTIVO INTANGIBLE (EN PAPEL),1,2014,CONCEPCION,CENTRO DE CONSERVACION DE LA BIODIVERSIDAD AGRICOLA DE TENERIFE,1,120.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-17-2498-4,LOS SECRETOS DEL EXITO EN COACHING,2,2016,COPE,TRILLAS,1,47.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-7360-476-5,CUESTIONARIOS DE AUTOEVALUACION Y APRENDIZAJE SOBRE PREVENCION DE RIESGOS,4,2012,CORTES,TEBAR,1,50.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-7360-477-2,MARCO NORMATIVO DE LA PREVENCION DE RIESGOS LABORALES.,5,2012,CORTES,TEBAR,5,33.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,9832000,RELACIONES JEFE SUBORDINADO,2,2000,COSSIO,AUTORES NACIONALES,1,3.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-762-259-1,SALARIOS. ASPECTOS A CONSIDERAR EN SU ADMINISTRACION Y MANEJO,1,2015,CUARTAS,EDICIONES DE LA U,2,63.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-612-304-553-1,MANUAL PARA LA EVALUACION DEL DESEMPEÑO LABORAL.,1,2018,CUESTA,MACRO,24,16.2
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-9714-8,METODOLOGIA DE EMPLEO CON APOYO EN LA INSERCION SOCIOLABORAL DE PERSONAS,1,2015,DE ALBA,PARANINFO,3,46.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-8322-710-7,RELACIONES LABORALES EN LA ENCRUCIJADA. EL FUTURO DEL TRABAJO,1,2010,DE BENITO,PEARSON,1,10.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9035-579-4,FUNDAMENTOS DE RECURSOS HUMANOS,3,2018,DE LA CALLE,PEARSON,2,97.2
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9035-409-4,FUNDAMENTOS DE RECURSOS HUMANOS,2,2014,DE LA CALLE,PEARSON,1,45.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-32-4101-4,ADMINISTRACION DE RECURSOS HUMANOS,6,2017,DESSLER,PEARSON,5,122.2
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-32-3311-8,ADMINISTRACION DE RECURSOS HUMANOS.,14,2015,DESSLER,PEARSON,118,30.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-32-0249-7,ADMINISTRACION DE RECURSOS HUMANOS. ENFOQUE LATINOAMERICANO,5,2011,DESSLER,PEARSON,8,20.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-17526-66-5,MANUAL DE LA SOCIOLOGIA DEL TRABAJO Y DE LAS RELACIONES LABORALES,4,2021,DETLEV,DELTA,2,157.2
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-92453-80-1,MANUAL DE LA SOCIOLOGIA DEL TRABAJO Y DE LAS RELACIONES LABORALES.,3,2010,DETLEV,DELTA,1,30.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-368-3860-2,¿ QUIEN QUEDA EN EL ARMARIO ?,1,2018,DI MARCO,PIRAMIDE,10,45.8
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-762-047-4,OUTSOURCING. GUIA PRACTICA DE TECNICAS Y ESTRATEGIAS,1,2012,DIAZ,EDICIONES DE LA U,1,28.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9085-053-4,RELATOS HISTORICOS PARA PERSUADIR Y DIRIGIR.,2,2014,DIAZ,DYKINSON,2,58.2
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-743-349-8,BUSQUEDA Y SELECCION DE LOS RECURSOS HUMANOS.,2,2012,DOBRONICH,VALLETA EDICIONES,1,86.6
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-8879-15-4,"SELECCION, ELABORACION, ADAPTACION Y UTILIZACION DE MATERIALES, MEDIOS Y RECUR",1,2014,FERNANDEZ,LIMUSA,8,77.9
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-987-1577-81-1,RESOLVIENDO VICIOS EN LA CONDUCCION DE PERSONAS.,1,2012,FERTONANI,OSMAR D. BUYATTI LIBRERIA EDITORIAL,1,57.6
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9198-634-8,CALIDAD DE LA FORMACION. SSCE020PO,1,2019,GARCIA,IC EDITORIAL (INNOVACION Y CUALIFICACION),2,30.7
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-17-1121-2,COMPETENCIAS LABORALES. METODO PARA EVALUARLAS,1R,2015,GARCIA,TRILLAS,1,47.4
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-368-3818-3,DIRECCION ESTRATEGICA DE RECURSOS HUMANOS. FUNDAMENTOS Y PERSPECTIVAS TEORI,1,2017,GARCIA,PIRAMIDE,5,76.6
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-1321-880-9,OPERACIONES ADMINISTRATIVAS DE RECURSOS HUMANOS,DL,2022,GARCIA,EDITEX,3,136.1
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-762-176-1,TRABAJOS EN ATMOSFERAS EXPLOSIVAS.,1,2014,GARCIA,EDICIONES DE LA U,2,36.5
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-9927-2,GESTION DE RECURSOS HUMANOS. CASOS PRACTICOS.,1,2014,GIL,PARANINFO,3,31.4
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-9794-0,APLICACIONES INFORMATICAS DE ADMINISTRACION DE RECURSOS HUMANOS,1,2015,GOITIA,PARANINFO,8,43.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-629-4,COMPETENCIAS DE COACHING APLICADAS.,8R,2018,GOLDVARG,GRANICA,1,62.9
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-903-5298-4,GESTION DE RECURSOS HUMANOS,8,2016,GOMEZ MEJIA,PEARSON,23,485.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-720-469-8,ORGANIZACIONES. APROXIMACIONES TEORICAS DESDE LOS ESTUDIOS ORG,1R,2018,GONZALES,EAFIT,4,68.6
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-3700-7,FORMACION Y ORIENTACION LABORAL,3,2016,GONZALEZ,PARANINFO,1,15.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9198-334-7,MF1446_3. ORIENTACION LABORAL Y PROMOCION DE LA CALIDAD EN LA FORMACION,1,2018,GONZALEZ,IC EDITORIAL (INNOVACION Y CUALIFICACION),3,42.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-448-628-5,LA ENTREVISTA EN LAS ORGANIZACIONES,3,2017,GRADOS,MANUAL MODERNO,1,50.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-607-448-342-0,"RECLUTAMIENTO SELECCION, CONTRATACION E INDUCCION DEL PERSONAL.",4,2013,GRADOS,MANUAL MODERNO,3,92.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-631-618-7,FORMACION PARA LA CONSTRUCCION PERSONAL,1,2010,GRANADOS,UNIV. SANTO TOMAS,2,10.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-470-4651-5,"DIRECCION ESTRATEGICA. CONCEPTOS, TECNICAS Y APLICACIONES.",8,2014,GRANT,THOMSON REUTERS,1,250.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-368-2693-7,CONSEGUIR TRABAJO CON EL CURRICULUM ADECUADO.,1,2012,GRAY,PIRAMIDE,2,27.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-784-010-0,RECURSOS HUMANOS EN REDES Y ORGANIZACIONES. ALGUNAS REFLEXIONES Y DESAFIOS,1,2017,GRUESO,UNIV. DEL ROSARIO,2,35.5
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-648-484-8,CODIFICACION EN SALUD OCUPACIONAL.,1R,2013,HENAO,ECOE,1,20.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9198-335-4,MF1445_3. EVALUACION DEL PROCESO DE ENSEÑANZA-APRENDIZAJE EN FORMACION PROFESIO,1,2018,HERMAN,IC EDITORIAL (INNOVACION Y CUALIFICACION),8,70.9
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-277-2125-8,COMPRENDER Y MEJORAR LA CONDUCTA TRABAJANDO EN GRUPO,1,2016,HUNTER,NARCEA,6,61.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-283-9789-6,APOYO ADMINISTRATIVO A LA GESTION DE RECURSOS HUMANOS.,1,2015,IBAÑEZ,PARANINFO,4,33.4
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9969-080-3,LA PASION DE MEJORAR.,1,2012,IBARZABAL,DIAZ DE SANTOS,1,40.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-7978-867-4,INTRA-EMPRENDIZAJE.,1,2008,IRIZAR,DIAZ DE SANTOS,1,20.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-368-2313-4,DISCAPACIDAD INTELECTUAL EN LA EMPRESA. LAS CLAVES DEL EXITO.,1,2010,IZUZQUIZA,PIRAMIDE,1,9.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-7356-601-8,LA RETRIBUCION.,1,2009,JIMENEZ,ESIC,40,9.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-16462-91-9,MANUAL DE RECURSOS HUMANOS,3,2016,JIMENEZ,ESIC,2,56.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-970-10-6958-5,ENTREVISTA GUIA PRACTICA PARA ESTUDIANTES Y PROFESIONALES.,1,2009,KEATS,MCGRAW-HILL,4,10.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-16383-65-8,ASI ME HICE TRADER. PSICOLOGIA DEL TRADING Y DE LA INVERSION,2,2017,LABARTA,DELTA,2,74.3
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9003-790-4,GESTION DE RECUROS HUMANOS,DL,2013,LACALLE,EDITEX,1,50.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9078-777-9,GESTION DE RECURSOS HUMANOS 2016,DL,2016,LACALLE,EDITEX,1,178.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9078-573-7,OPERACIONES ADMINISTRATIVAS DE RECURSOS HUMANOS 2016,DL,2016,LACALLE,EDITEX,4,85.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-9003-044-8,OPERACIONES ADMINISTRATIVAS DE RECURSOS HUMANOS.,DL,2014,LACALLE,EDITEX,2,25.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-950-641-622-5,EL CAMBIO DEL COMPORTAMIENTO EN EL TRABAJO.,2R,2016,LAZZATI,GRANICA,3,94.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-958-631-600-2,CRISIS DE LA SOCIEDAD SALARIAL Y PROTECCION SOCIAL,1,2010,LEBONNIEC,UNIV. SANTO TOMAS,8,6.0
ADMINISTRACION,ADMINISTRACION DE RECURSOS HUMANOS,978-84-1321-566-2,GESTION DE RECURSOS HUMANOS,DL,2021,LEON,EDITEX,6,138.0
